date,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston,Beersheba,Tel Aviv District,Eilat,Haifa,Nahariyya,Jerusalem
2016-1-2T23Z,100,32,36,52,20,31,27,24,44,14,86,39,66,39,68,39,100,29,73,60,74,77,45,77,55,70,55,59,82,81,95,79,100,100,100,78
2016-1-3T0Z,86,34,47,60,27,33,28,25,44,22,100,52,81,48,70,41,89,36,86,70,75,77,80,73,63,69,64,51,82,74,95,87,100,100,100,87
2016-1-3T1Z,88,37,59,69,36,36,31,27,44,31,99,52,80,48,73,41,80,36,86,70,78,77,80,73,73,69,64,51,82,68,94,85,100,100,100,86
2016-1-3T2Z,100,51,74,84,39,59,51,43,48,38,99,56,71,64,78,64,89,58,86,70,78,81,83,78,69,74,71,51,85,83,93,76,100,100,100,76
2016-1-3T3Z,100,43,82,37,62,57,41,32,92,49,93,49,87,64,73,64,80,64,85,69,82,80,83,78,74,74,86,62,85,68,93,75,96,100,100,75
2016-1-3T4Z,100,48,86,49,63,63,39,76,92,52,100,84,87,87,73,74,100,51,81,51,84,76,100,78,68,80,92,100,88,68,94,71,70,100,100,71
2016-1-3T5Z,100,54,92,63,66,70,38,57,92,57,93,84,87,69,79,69,63,64,80,60,74,67,81,78,68,80,79,68,86,55,94,71,60,100,100,71
2016-1-3T6Z,69,54,86,100,76,87,51,76,92,36,93,84,87,74,74,64,63,74,80,64,74,93,92,88,68,74,74,79,92,100,94,66,100,100,100,62
2016-1-3T7Z,100,54,86,55,71,87,55,65,92,57,93,82,93,80,79,75,68,84,80,55,74,93,100,94,68,69,92,68,100,73,100,62,100,100,100,62
2016-1-3T8Z,100,54,86,57,70,86,55,65,89,56,93,82,93,68,79,80,73,74,86,70,74,87,92,88,67,74,92,68,86,73,100,58,100,93,93,58
2016-1-3T9Z,100,63,86,50,76,87,55,65,92,57,92,82,92,68,79,79,72,74,85,69,59,87,92,88,68,74,92,75,87,73,100,58,92,93,93,58
2016-1-3T10Z,100,67,82,48,73,87,53,65,92,49,87,82,87,74,79,79,84,74,79,44,63,87,100,94,68,74,92,100,93,86,100,58,41,93,93,58
2016-1-3T11Z,100,73,79,47,70,87,51,65,92,42,87,81,86,74,79,79,68,74,79,44,69,87,99,94,68,74,91,100,92,73,99,66,54,94,94,62
2016-1-3T12Z,92,78,82,52,70,93,52,65,85,40,93,81,89,71,79,79,76,74,85,54,71,89,96,94,68,74,86,68,93,70,100,87,29,93,93,87
2016-1-3T13Z,93,85,86,58,70,100,55,65,79,39,100,80,93,68,79,79,85,74,92,65,74,93,92,94,69,74,80,66,93,68,99,87,28,93,93,87
2016-1-3T14Z,100,77,86,77,68,89,65,65,72,48,100,77,86,73,81,77,92,71,83,61,77,96,79,91,65,75,68,64,93,83,95,93,25,93,93,93
2016-1-3T15Z,100,79,92,79,65,100,55,57,85,44,86,75,87,68,73,74,79,69,85,64,74,93,75,88,68,75,56,58,92,59,93,92,27,93,93,92
2016-1-3T16Z,100,73,77,79,63,88,51,47,72,44,80,77,76,68,73,69,76,60,82,61,78,84,65,83,64,80,50,42,90,50,87,87,42,100,100,87
2016-1-3T17Z,100,68,60,79,61,75,48,37,58,45,75,80,66,68,73,64,74,52,79,59,84,76,56,78,61,78,45,55,90,41,88,88,54,100,100,87
2016-1-3T18Z,100,86,48,59,43,47,39,37,98,32,62,43,50,55,73,59,68,37,80,59,84,66,25,69,61,59,45,42,92,45,92,93,44,100,100,93
2016-1-3T19Z,100,86,46,58,43,47,38,36,92,31,60,41,49,55,72,58,68,37,80,57,82,67,25,69,61,71,45,42,90,44,89,93,54,100,100,93
2016-1-3T20Z,97,92,34,55,50,48,32,33,40,26,51,33,47,55,68,55,68,37,80,51,74,76,28,74,69,70,45,54,89,44,89,93,63,100,100,93
2016-1-3T21Z,93,89,34,63,54,52,30,33,44,24,51,30,47,53,68,56,68,32,80,50,74,73,27,80,74,63,50,41,92,47,89,93,50,100,100,93
2016-1-3T22Z,94,86,34,74,59,59,28,33,51,22,51,28,47,51,68,59,68,27,80,50,74,71,27,88,80,63,56,43,92,51,88,93,55,100,100,93
2016-1-3T23Z,99,90,63,86,44,54,35,30,67,39,72,43,54,65,75,67,83,47,78,52,75,85,49,93,73,73,58,51,92,74,88,93,100,100,100,93
2016-1-4T0Z,99,92,60,100,50,51,28,29,51,26,71,53,44,59,79,69,74,36,80,61,77,66,56,88,80,72,69,51,89,59,87,92,100,100,100,92
2016-1-4T1Z,100,92,60,100,52,57,30,32,49,30,78,48,48,65,81,75,64,41,82,61,64,64,67,90,80,62,69,55,78,63,83,87,100,100,100,87
2016-1-4T2Z,100,92,62,100,55,66,34,37,47,37,87,43,54,74,85,83,54,48,86,61,50,62,80,93,80,64,69,67,77,68,84,84,100,100,100,87
2016-1-4T3Z,100,92,62,100,60,70,34,30,59,41,84,47,63,79,88,75,54,55,86,63,51,63,82,93,74,61,71,64,66,68,83,93,71,100,100,93
2016-1-4T4Z,96,92,64,100,67,76,36,23,74,46,81,52,75,85,92,68,54,64,86,67,53,66,86,93,68,61,74,65,66,68,83,92,73,99,99,92
2016-1-4T5Z,80,95,75,100,73,82,50,33,61,50,93,73,80,92,87,74,58,69,79,62,68,66,73,100,69,66,74,69,71,83,83,87,87,93,93,87
2016-1-4T6Z,84,92,69,100,67,81,39,25,79,56,93,72,80,91,92,73,58,69,79,62,58,65,72,99,79,66,74,69,68,68,85,83,83,92,92,85
2016-1-4T7Z,100,95,83,93,67,83,39,28,79,56,93,65,93,85,95,68,79,69,79,67,58,62,69,93,76,66,81,69,60,73,100,67,66,87,87,67
2016-1-4T8Z,100,100,100,86,67,87,39,33,79,58,100,65,92,84,100,68,58,69,78,66,58,62,69,93,74,70,81,80,62,79,100,74,73,90,90,70
2016-1-4T9Z,100,100,100,92,64,93,41,33,76,55,93,80,86,79,100,63,73,69,85,67,62,61,69,93,73,72,64,59,59,74,100,59,48,81,81,59
2016-1-4T10Z,100,100,100,100,62,100,45,33,73,53,93,80,85,79,100,63,73,69,85,67,62,61,69,93,73,70,63,57,59,73,99,59,45,80,80,59
2016-1-4T11Z,100,80,80,100,58,100,52,41,73,53,93,80,81,79,100,63,73,76,85,69,68,61,77,93,79,60,54,54,59,73,97,63,30,76,76,63
2016-1-4T12Z,100,100,87,100,62,71,45,54,58,57,87,81,81,92,84,58,68,59,73,69,68,61,69,93,79,60,46,58,59,68,97,63,39,76,76,63
2016-1-4T13Z,100,95,82,90,62,75,45,44,59,57,93,79,70,85,85,58,73,59,85,80,73,61,64,93,79,60,50,50,64,86,90,59,37,76,76,59
2016-1-4T14Z,100,86,74,86,58,87,48,71,63,58,86,79,86,79,84,58,68,55,73,64,73,57,51,87,79,60,42,42,64,58,90,59,40,76,76,63
2016-1-4T15Z,100,80,87,100,58,76,48,44,68,58,93,69,75,79,92,65,68,50,74,64,85,50,41,77,63,55,46,42,59,63,90,67,37,81,81,67
2016-1-4T16Z,100,100,87,100,58,82,52,38,46,50,100,69,66,73,85,50,68,50,63,51,85,46,38,68,46,51,50,39,59,58,90,62,37,93,93,67
2016-1-4T17Z,100,98,90,100,57,72,55,41,55,49,91,49,50,73,85,55,63,47,74,52,79,44,33,48,47,47,47,30,54,58,83,76,42,100,100,76
2016-1-4T18Z,100,95,55,100,51,100,66,62,50,40,90,48,50,73,84,54,63,46,74,52,78,44,33,47,57,46,46,29,53,58,82,74,42,99,99,75
2016-1-4T19Z,100,86,55,100,42,87,66,66,37,38,80,46,60,73,73,43,63,43,74,52,57,44,35,40,45,40,39,28,50,92,81,66,48,98,98,66
2016-1-4T20Z,80,86,56,100,43,86,66,66,39,38,80,47,59,73,74,44,65,43,73,51,59,46,35,44,45,43,39,28,46,92,81,58,51,98,98,58
2016-1-4T21Z,80,97,93,100,39,77,62,76,38,26,80,43,60,73,79,44,63,44,74,52,57,44,32,43,49,43,36,28,47,51,81,58,51,98,98,58
2016-1-4T22Z,80,91,96,100,36,72,58,76,39,36,73,43,58,73,81,45,63,41,74,56,57,58,32,40,50,51,38,29,55,47,85,62,54,99,99,62
2016-1-4T23Z,85,86,100,100,34,67,54,76,41,48,66,43,56,74,85,47,63,38,73,55,57,58,34,40,52,55,41,52,56,44,84,65,63,99,99,64
2016-1-5T0Z,100,88,100,100,34,71,64,81,54,49,58,52,54,73,85,52,63,42,79,59,59,54,37,43,56,51,44,37,60,42,85,66,66,99,99,66
2016-1-5T1Z,97,91,100,100,34,77,76,87,69,51,50,63,53,73,85,58,63,47,86,64,62,50,42,48,61,51,48,39,59,40,85,65,70,99,99,65
2016-1-5T2Z,86,87,93,100,58,84,84,83,70,57,56,67,59,74,86,66,81,57,81,53,79,61,45,69,59,55,46,47,59,69,85,62,100,99,99,62
2016-1-5T3Z,88,89,100,100,72,77,71,100,87,59,65,76,70,73,100,63,63,58,86,64,67,50,42,48,56,55,48,47,59,40,85,61,95,97,97,61
2016-1-5T4Z,100,90,96,96,74,88,75,100,71,60,70,60,86,79,100,92,53,63,85,64,67,50,73,55,60,60,56,47,64,100,86,58,62,87,87,58
2016-1-5T5Z,100,92,93,93,77,100,81,100,55,63,70,60,85,78,99,91,53,63,84,63,67,50,72,56,66,66,55,64,63,100,85,61,70,89,89,60
2016-1-5T6Z,100,86,100,100,76,93,87,93,80,53,75,60,86,79,100,79,63,68,79,54,78,53,58,55,71,71,47,47,70,100,86,54,66,76,76,54
2016-1-5T7Z,100,94,100,100,82,93,93,81,80,55,80,79,86,85,92,92,73,68,85,50,78,84,68,63,77,66,51,56,76,80,93,51,62,81,81,51
2016-1-5T8Z,100,93,99,100,82,93,92,81,80,54,80,78,84,84,91,90,74,68,84,49,78,83,67,64,76,71,50,51,77,80,93,51,58,71,71,51
2016-1-5T9Z,100,91,100,100,82,87,87,100,80,47,75,79,93,79,92,100,73,68,92,50,85,84,53,72,71,71,56,51,76,58,91,50,56,70,70,50
2016-1-5T10Z,100,86,100,100,79,89,93,96,82,47,83,79,89,73,88,92,78,65,79,74,85,88,73,82,80,71,56,55,76,65,78,42,45,67,67,42
2016-1-5T11Z,100,82,100,100,76,93,100,93,86,47,93,81,86,73,85,91,85,63,79,73,85,87,72,82,91,75,56,70,73,74,77,46,57,74,74,47
2016-1-5T12Z,100,74,100,93,94,99,100,100,92,47,93,81,68,68,85,100,78,73,85,73,78,57,85,82,84,66,56,55,83,68,78,42,30,72,72,42
2016-1-5T13Z,100,80,87,100,82,93,100,100,92,58,80,79,65,79,85,85,79,68,73,63,66,60,49,77,84,72,43,43,83,68,78,42,25,72,72,42
2016-1-5T14Z,100,86,100,93,82,93,100,100,92,50,86,86,80,73,85,79,85,63,73,64,62,62,50,88,78,72,41,43,77,74,71,42,32,63,63,42
2016-1-5T15Z,100,92,93,100,87,82,100,100,92,54,75,79,86,74,85,74,73,66,73,40,67,61,52,93,66,85,31,37,77,79,71,48,26,67,67,51
2016-1-5T16Z,100,92,79,98,88,85,98,100,92,52,65,74,75,70,73,64,79,50,63,44,62,62,29,82,64,62,30,31,77,79,68,55,28,67,67,55
2016-1-5T17Z,100,93,32,93,93,100,93,100,92,47,64,74,74,70,73,63,79,49,63,44,62,62,29,81,57,63,30,54,75,79,67,58,44,74,74,59
2016-1-5T18Z,58,93,87,93,93,87,93,93,86,33,57,69,61,55,63,51,100,38,54,25,54,66,25,60,45,58,21,29,77,86,68,58,38,98,98,58
2016-1-5T19Z,100,93,22,100,93,82,100,93,80,30,61,70,58,55,88,44,51,35,64,33,46,66,23,60,38,53,40,21,78,86,68,58,42,97,97,58
2016-1-5T20Z,86,80,81,93,100,87,81,93,86,30,66,56,58,51,68,48,59,33,64,24,50,71,25,56,35,53,20,25,78,86,68,54,42,97,97,54
2016-1-5T21Z,93,85,62,94,100,87,82,91,84,30,66,56,56,55,68,44,71,33,64,33,48,62,25,56,37,58,22,18,66,90,68,50,51,97,97,50
2016-1-5T22Z,93,100,17,100,100,87,87,87,80,30,66,56,54,55,68,44,100,33,63,33,46,62,25,56,45,59,28,19,66,100,68,50,57,97,97,50
2016-1-5T23Z,93,100,56,100,100,93,91,91,84,39,65,60,53,61,77,51,100,50,62,36,62,71,35,69,57,74,45,25,66,100,70,54,100,97,97,54
2016-1-6T0Z,93,86,93,100,87,87,87,93,89,35,81,64,71,69,73,55,74,32,63,44,58,62,33,56,57,74,62,25,67,100,70,53,100,97,97,53
2016-1-6T1Z,93,86,90,100,93,89,89,93,84,33,81,67,75,66,75,56,76,37,67,45,58,62,42,64,64,79,64,25,77,76,70,50,100,97,97,50
2016-1-6T2Z,94,86,87,100,100,93,93,93,80,32,81,72,81,64,79,59,79,43,73,47,58,62,53,64,72,78,67,49,75,52,69,53,100,96,96,52
2016-1-6T3Z,93,91,93,100,85,96,90,93,82,42,93,72,75,64,79,74,63,63,68,59,62,71,62,64,66,73,73,32,72,56,70,66,50,97,97,66
