date,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver
2.01301E+11,271.93,271.83,275.26,270.92,279.51,278.19,273.48,280.68,263.78,263.62
2.01301E+11,271.89,271.77,276.11,271.35,280.69,280.63,275.03,282.19,266.01,266.58
2.01301E+11,272.64,273.13,277.91,273.35,285.11,284.58,277.58,284.5,266.81,269.68
2.01301E+11,274.02,274.68,280.3,276.23,288.93,288.86,280.23,286.08,269.1,272.09
2.01301E+11,275.03,275.87,281.59,277.78,290.97,290.32,281.55,287.46,271.92,273.56
2.01301E+11,276,276.46,282.95,278.76,292.78,291.4,282.46,288.4,270.75,274.97
2.01301E+11,276.57,276.55,284.11,279.61,293.78,292.6,283.44,288.93,271.23,274.97
2.01301E+11,277.16,276.41,284.82,280.02,293.8,292.35,283.6,289.34,272.23,275.84
2.01301E+11,275.99,276.41,284.85,279.25,293.16,291.44,283.8,289.2,272.34,273.35
2.01301E+11,275.31,275.9,284.18,277.85,291.29,289.24,280.87,287.98,269.81,271.88
2.01301E+11,275.18,275.71,282.94,277.5,289.48,286.73,276.83,286.01,268.31,269.28
2.01301E+11,275.01,275.32,281.86,277.36,288.13,285.4,278.73,284.87,265.91,267.89
2.01301E+11,275.17,275.05,281.08,275.67,286.21,284.49,276.94,283.47,267.27,267.19
2.01301E+11,275.15,274.99,279.53,275.41,284.62,284.24,275.59,282.69,262.95,266.81
2.01301E+11,275.29,274.48,278.84,275.25,284.6,283.71,268.44,281.82,262.95,265.94
2.01301E+11,274.92,273.41,278.81,274.99,282.54,279.91,269.43,278.36,261.23,263.86
2.01301E+11,274.17,270.29,279.32,274.52,274.84,269.93,260.93,269.17,256.83,258.05
2.01301E+11,273.99,270.24,279.02,274.37,275.59,269.21,260.56,268.57,256.45,257.84
2.01301E+11,275.38,273.65,277.71,275.93,278.9,277.92,270.05,276.43,261.33,264.05
2.01301E+11,275.73,274.75,277.08,276.35,280.5,280.34,272.97,278.65,262.7,265.98
2.01301E+11,275.91,274.67,276.79,276.86,280.45,279.48,272.24,278.83,262.54,265.52
2.01301E+11,276.06,274.74,276.53,277.16,279.92,279.07,271.59,278.19,261.65,266.12
2.01301E+11,276.21,274.8,276.27,277.45,279.39,278.66,270.93,277.55,260.75,266.72
2.01301E+11,276.32,274.8,276.36,277.92,279.27,278.02,270.35,276.3,260.75,266.88
2.01301E+11,275.99,275.05,276.46,278.21,279.19,279.46,270.93,277.93,260.45,268.11
2.01301E+11,276.08,275.05,276.47,278.45,280.49,282.01,273.07,280.78,263.76,272.18
2.01301E+11,276.14,275.32,279.13,278.91,284.26,286.64,275.95,283.18,266.39,275.32
2.01301E+11,276.79,275.73,282,279.61,287.67,289.36,278.4,284.85,268.52,277.68
2.01301E+11,276.96,276.86,284.02,280.24,289.44,290.26,280.19,285.94,269.99,279.79
2.01301E+11,277.45,277.45,284.95,281.82,290.63,290.62,281.22,286.7,270.77,281.03
2.01301E+11,277.93,277.55,285.52,282.34,291.63,290.95,282.46,287.66,271.24,281.56
2.01301E+11,278.04,277.76,285.88,282.5,291.65,291.31,282.59,287.92,271.84,281.58
2.01301E+11,277.88,278.21,285.61,281.97,290.93,290.07,282.56,287.84,271.7,278.5
2.01301E+11,277.76,277.41,285.29,281.03,289.91,288.41,281.42,286.53,270.35,275.62
2.01301E+11,277.59,276.54,283.7,279.91,287.48,286,279.67,284.03,268.85,272.7
2.01301E+11,277.59,275.49,282.3,280.04,285.44,284.22,277.15,282.47,268.26,271.97
2.01301E+11,277.94,274.96,281.16,278.95,283.56,282.44,275.77,280.56,267.99,271.89
2.01301E+11,277.5,274.79,280.46,278.76,282.78,281.83,275.28,279.82,267.55,270.42
2.01301E+11,277.34,274.43,279.46,278.6,281.84,280.72,274.48,279.02,266.05,270.27
2.01301E+11,277.48,274.01,278.98,278.42,281.3,280.34,274.18,278.05,265.97,269.05
2.01301E+11,277,274.2,278.5,278.64,280.21,279.63,272.86,278.07,266.18,268.62
2.01301E+11,276.89,274.26,277.6,278.4,279.83,279.08,272.36,277.51,266.4,267.11
2.01301E+11,277.22,274.38,277.28,278.36,280.05,278.84,271.39,276.96,267.21,266.53
2.01301E+11,277.11,274.38,277.01,278.06,279.46,278.73,271.34,276.96,266.6,267.85
2.01301E+11,277.17,274.38,277.68,278.06,278.95,278.98,270.87,276.69,264.95,267.06
2.01301E+11,277.37,274.53,277.33,277.79,278.71,278,271.39,276.82,264.64,267.27
2.01301E+11,277.22,274.51,277.35,278.11,278.26,278.11,270.93,275.95,264.95,265.56
2.01301E+11,277.42,274.63,277.79,278.28,278.11,277.66,271.09,274.25,265.4,265.37
2.01301E+11,277.09,274.64,278.4,278.73,278.24,278.41,270.17,275.37,266.32,267.73
2.01301E+11,277.17,274.66,279.05,278.48,279.43,281.4,272.72,279.42,267.77,271.16
2.01301E+11,277.13,274.86,280.11,278.69,283.01,285.55,276.21,282.07,270,274.44
2.01301E+11,277.55,275.19,281.47,278.85,286.39,287.72,278.29,284.04,271.29,274.87
2.01301E+11,277.69,275.44,282.64,279.12,288.52,289.17,280.15,285.99,272.77,276.54
2.01301E+11,277.92,275.86,283.15,279.21,289.92,290.15,281.7,287.39,273.83,276.33
2.01301E+11,278.35,275.85,283.34,278.96,290.37,290.29,282.46,288.87,275.16,276.41
2.01301E+11,278.81,276.09,283.45,279.47,290.03,289.52,282.62,289.48,275.52,276.23
2.01301E+11,278.66,276.03,283.28,279.47,289.48,288.8,282.62,289.16,274.85,275.3
2.01301E+11,277.88,275.9,283.18,279.01,287.17,287.12,281.86,287.72,274.43,272.3
2.01301E+11,277.74,275.44,282.46,278.6,285.92,285.13,279.75,285.04,272.68,270.52
2.01301E+11,277.6,275.21,282.29,278.26,284.8,284.09,279.02,283.1,271.71,269.61
2.01301E+11,278.22,274.98,282.17,278.48,283.69,282.7,278.27,281.38,271.79,269.51
2.01301E+11,278.06,274.92,281.93,278.68,283.89,282.05,277.46,279.88,269.95,268.53
2.01301E+11,277.84,274.98,281.8,278.26,282.96,281.34,276.7,279.45,268.13,268.53
2.01301E+11,277.44,275.09,281.55,277.86,282.15,281.14,276.31,278.77,267.47,268.73
2.01301E+11,277.67,274.98,281.44,277.73,282.56,280.65,275.16,278.44,266.26,268.21
2.01301E+11,277.51,274.91,281.11,277.73,282.14,280.73,274.4,278.17,264.73,267.7
2.01301E+11,277.25,274.91,280.49,277.51,282.16,280.62,275.32,277.64,265.5,267.27
2.01301E+11,277.34,274.8,280.45,277.32,282.58,280.87,274.91,277.51,265.95,267.56
