Username,Timestamp,Events,Time Spent,Time Helped
258,2/24/2017 14:13,OTHERS,5,needed to store the variable he was subtracting to print at the end
335,2/24/2017 14:19,HW3,2,nevermind
130,2/24/2017 14:20,HW3,3,need help starting part 4
232,2/24/2017 14:23,HW3,5,understanding when variables update
262,2/24/2017 14:29,HW3,4,Needed help with conditions for while loop and if statement
108,2/24/2017 14:30,HW2,3,need help starting part 4
130,2/24/2017 14:35,HW3,2,needed help starting part4
120,2/24/2017 14:36,HW3,5,needed help with looping 
306,2/24/2017 14:41,HW3,5,Needed assistance with getting while loops to run enough times
135,2/24/2017 14:43,HW3,2,nevermind
232,2/24/2017 14:46,HW3,5,"needed help with end =  """""
124,2/24/2017 14:46,HW3,5,"needed help with end =  """""
335,2/24/2017 14:53,HW3,2,"needed help with end =  """""
171,2/24/2017 15:02,HW3,4,stuck on how to implement while loop  for part 4
174,2/24/2017 15:05,HW3,1,Updated height before printing
151,2/24/2017 15:10,HW3,5,Needed help thinking through the part4 counter
329,2/24/2017 15:11,HW3,4,nevermind (came up to me and said he was good)
108,2/24/2017 15:12,HW3,3,needed help with using mod (the new line)
258,2/24/2017 15:18,HW3,4,infinite loop
174,2/24/2017 15:30,HW3,1,student left
130,2/24/2017 15:32,HW3,2,Had to leave so helped early. Was updating height before printing
296,2/24/2017 15:33,OTHERS,2,needed hash files explained
274,2/24/2017 15:33,HW3,5,needed help with while loop logic
346,2/24/2017 15:37,HW3,3,
124,2/24/2017 15:41,HW3,5,needed help with while loop logic
130,2/24/2017 15:54,HW3,2,needed help with part 3
232,2/24/2017 15:54,HW3,5,Wasn't looping enough
258,2/24/2017 16:04,HW3,5,infinite loop when hail at 0
171,2/24/2017 16:07,HW3,4,even vs odd (modulus)
151,2/24/2017 16:15,HW3,5,whiteboarding the while loop
167,2/24/2017 16:22,HW3,4,needed help with using mod for new line
171,2/24/2017 16:24,HW3,3,infinite loop on hailstone (using new variable for calculations)
232,2/24/2017 16:29,HW3,5,while loop went 1 step too far
258,2/24/2017 16:43,HW3,3,using modulus for if statement
118,2/27/2017 14:03,HW4,5,"part4: wasn't appending the last element, part2: need help comparing strings"
118,2/27/2017 14:31,HW4,2,printing after one character that wasn't !
155,2/27/2017 14:43,HW4,5,need help with order inside while loop part 3
369,2/27/2017 14:54,HW4,4,wasnt sure whether or not to use a constant
130,2/28/2017 12:48,LAB5,2,Needed help understanding a counter and how lists work (Needed help with the lab and NOT HW4)
302,2/28/2017 13:22,LAB5,3,Needed help with the lab didn't understand how to change a certain element in a list
316,2/28/2017 13:30,HW4,2,Needed to change the order of his while loop (stored data before asking for data)
130,2/28/2017 14:19,HW4,2,wrong sentienel value
173,2/28/2017 14:54,OTHERS,2,priniing index as index+1
215,2/28/2017 19:26,HW4,5,
215,2/28/2017 19:39,HW4,4,
184,3/1/2017 10:05,HW4,2,didn't get you could use variables as indexers
237,3/1/2017 11:54,HW4,4,upper/lower didnt know if taught/could use
262,3/1/2017 12:04,HW4,4,Appending to a list
101,3/1/2017 12:10,HW4,4,upper/lower didint know how to use
173,3/1/2017 12:14,OTHERS,3,Lab 4 incrementing single items in a list
297,3/1/2017 12:16,HW4,3,Not using a whiel loop to print contents of a lsit
262,3/1/2017 12:37,HW4,2,THE POWER OF SLICING
262,3/1/2017 12:50,HW4,3,infinite loops needed better sentiels
297,3/1/2017 12:57,HW4,3,Needed help using counter to print out two lists at once.
262,3/1/2017 13:02,HW4,4,Was printing out whole list instead of item at each index
237,3/1/2017 13:07,HW4,3,"Created a list of empty "", then was appending"
297,3/1/2017 13:14,HW4,2,Needed explanation of how .lower() and .upper() works
173,3/1/2017 13:15,OTHERS,4,Needed help understanding the lab (had lab earlier before this)
262,3/1/2017 13:25,HW4,2,Needed reminder of .lower() and .upper() functions
143,3/1/2017 15:13,LAB5,5,Needed help with the lab 
242,3/1/2017 15:15,HW4,4,Confusion on how to use .lower()
356,3/1/2017 15:18,HW4,3,"Part 4 of the homework, asked for quanitity even when the user entered stop "
184,3/1/2017 15:22,HW4,3,Grocery list input problem 
242,3/1/2017 15:27,HW4,4,nevermind
356,3/1/2017 15:38,OTHERS,2,Walked through live coding problem 
155,3/1/2017 15:41,HW4,3,Help with \t and the ology part of the homework
242,3/1/2017 15:44,HW4,5,Wasnt accessing the sting with []
173,3/2/2017 11:58,HW4,4,Needed help with getting out of a while loop with QUIT
310,3/2/2017 12:14,OTHERS,5,Questions about formating output
138,3/2/2017 12:20,HW4,3,Needed an intro to lists 
316,3/2/2017 12:25,HW4,3,How to use boolean flags to check whether the string had an exclamation point or not
118,3/2/2017 12:40,HW4,5,
118,3/2/2017 12:58,HW4,5,requested again
118,3/2/2017 12:59,HW4,5,requested again
138,3/2/2017 13:03,HW4,3,
184,3/2/2017 13:03,HW4,3,
334,3/2/2017 13:04,HW4,5,student left
302,3/2/2017 13:06,HW4,3,"Needed help with mv, appened STOP to list which gave indexOutOfBounds"
262,3/2/2017 13:12,HW4,4,Structural stuff with ifs inside while loop
356,3/2/2017 13:24,HW4,3,"used class as variable name which isnt allowed in python, but doesn't show na appropriate error"
138,3/2/2017 13:42,HW4,2,needed help with the input validation while loop
329,3/2/2017 13:43,HW4,4,needed help with finding exclamation point
160,3/2/2017 14:03,HW4,5,didn't understand how upper works
292,3/2/2017 14:16,HW4,2,student left
173,3/2/2017 14:19,HW4,4,didn't understand how lower works
138,3/2/2017 14:30,HW4,3,emacs sux
130,3/2/2017 14:34,HW4,3,lots of questions about how while loops and booleans etc
297,3/2/2017 14:50,HW4,4,Had two while loops instead of one
138,3/2/2017 15:08,HW4,4,was doing pw validation checks inside loop thru the whole string
173,3/2/2017 15:11,HW4,4,"part 2 lowercase + !"" check logic"""
160,3/2/2017 15:15,HW4,3,had <= len()
138,3/2/2017 15:16,HW4,4,infinite while loop hidden in her program
130,3/2/2017 15:28,HW4,3,"had it mostly there, just had output while loop inside of the input while loop (part 3"
137,3/2/2017 15:35,HW4,3,student left ?
173,3/2/2017 15:41,HW4,4,needs to only print when password is definitely invalid (had all checks working though)
262,3/2/2017 15:46,HW4,4,was setting if password is valid to false every time
169,3/2/2017 15:50,HW4,3,"was trying to turn a string into a list, which is superfluous"
160,3/2/2017 15:52,OTHERS,2,"had the right idea for slicing in part 4, just needed help with syntax"
138,3/2/2017 15:54,HW4,3,"no syntax error when i got there, but small while loop logic issue"
302,3/2/2017 15:57,HW4,4,didn't know how to check for if password is all lower or has !
215,3/2/2017 16:05,HW4,5,how to figure out if a string was all lowercase (had a constant with all capital alphabetical characters so I steered her away from that approach)
130,3/2/2017 16:12,HW4,3,Needed help with a ton of errors in a ton of files
184,3/2/2017 16:19,HW4,3,lowercase part of part2
